ID;IBLOCK_SECTION_ID;NAME_RU;NAME_EN;DESC_RU;DESC_EN;CODE;ARTICLE;MANUFACTURER;JSON(GALLERY);COLOR;XML_ID
125127;123;;Folk Integrated Long Coat Navy men’s wo coat;<p>Необычная деталь в&nbsp~~виде верхнего слоя из&nbsp~~практичного плотного японского полиэстера делает это классическое темно-синее пальто уникальным. Выполнено из&nbsp~~натуральной шерсти и&nbsp~~кашемира. Прямой крой и&nbsp~~трикотажные манжеты для дополнительной защиты от&nbsp~~холода.</p>;<p>The practical top layer made of solid Japanese polyester makes this classic dark-blue coat a truly standout piece. The coat is made of natural wool and cashmere. Straight cut. Knitted cuffs for added warmth. </p>;WFW2403W.NAVY;WFW2403W.NAVY;folk;["\/upload\/photo\/WFW2403W.NAVY\/01.jpg","\/upload\/photo\/WFW2403W.NAVY\/02.jpg","\/upload\/photo\/WFW2403W.NAVY\/03.jpg","\/upload\/photo\/WFW2403W.NAVY\/04.jpg","\/upload\/photo\/WFW2403W.NAVY\/05.jpg","\/upload\/photo\/WFW2403W.NAVY\/06.jpg","\/upload\/photo\/WFW2403W.NAVY\/07.jpg","\/upload\/photo\/WFW2403W.NAVY\/08.jpg","\/upload\/photo\/WFW2403W.NAVY\/09.jpg","\/upload\/photo\/WFW2403W.NAVY\/10.jpg"];Синий;Синий;aaf5bfe2-43e9-11e4-8b00-2c768a5427a7
130372;131;;Lacoste Fleece Navy Blue gloves;<p>Основанный в 1933 году французский бренд производит не только одежду, но и качественные аксессуары в спортивном стиле. Перчатки из теплого флиса – гипоаллергенного синтетического материала, хорошо сохраняющего тепло. Защитят руки от ветра. Эластичные трикотажные манжеты сохраняют тепло и обеспечивают комфортную посадку по руке.</p><br>;;RV4022166;RV4022166;lacoste;["\/upload\/photo\/RV4022166\/01.jpg","\/upload\/photo\/RV4022166\/02.jpg","\/upload\/photo\/RV4022166\/03.jpg"];Синий;Синий;d59f9c27-5ad4-11e4-9d8f-2c768a5427a7
52787;94;;Norse Projects Lindisfarne Dark Navy Parka;<p>Norse Projects – датская марка, которая создает вещи в сдержанном скандинавском стиле. Теплая куртка Lindisfarne – основа каждой зимней коллекции. Сделана из вощеного хлопка, который был произведен на одной из старейших фабрик Великобритании British Millerain. Мягкая подкладка из флиса обеспечит комфорт при низкой температуре. Удлиненный воротник и регулируемый тесемками капюшон защитят от ветра. Удобные внешние карманы, в том числе один на молнии. </p><br>;<p>Norse Projects is a Danish brand creating clothes in a reserved, typically<br><br>Scandinavian style. The warm Lindisfarne jacket has been the foundation of each winter<br><br>collection by the brand. It’s made of waxed cotton that is produced at one of the oldest<br><br>British factories, British Millerain. The soft fleece lining will provide comfort during cold<br><br>weather, while the extra­long collar and the drawstring­adjustable hood are there to<br><br>protect you from wind. Convenient interior pockets, one is zippered. </p>;N55-0057.7004;N55-0057.7004;norse;["\/upload\/photo\/N55-0057.7004\/01.jpg","\/upload\/photo\/N55-0057.7004\/02.jpg","\/upload\/photo\/N55-0057.7004\/03.jpg","\/upload\/photo\/N55-0057.7004\/04.jpg","\/upload\/photo\/N55-0057.7004\/05.jpg","\/upload\/photo\/N55-0057.7004\/06.jpg","\/upload\/photo\/N55-0057.7004\/07.jpg","\/upload\/photo\/N55-0057.7004\/08.jpg","\/upload\/photo\/N55-0057.7004\/09.jpg","\/upload\/photo\/N55-0057.7004\/10.jpg","\/upload\/photo\/N55-0057.7004\/11.jpg","\/upload\/photo\/N55-0057.7004\/12.jpg","\/upload\/photo\/N55-0057.7004\/13.jpg","\/upload\/photo\/N55-0057.7004\/14.jpg","\/upload\/photo\/N55-0057.7004\/15.jpg","\/upload\/photo\/N55-0057.7004\/16.jpg","\/upload\/photo\/N55-0057.7004\/17.jpg"];Синий;Синий;65ad51e7-a929-11e3-9ca6-2c768a5427a7
139119;96;;adidas Spezial Chetcuti Kemp trainers;<p>Вторая капсульная коллекция adidas Spezial включает гибридные модели обуви, созданные по новейшим технологиям из современных материалов. Силуэты и расцветки отсылают к знаменитой архивной классике adidas. В основе Spezial Chetcuti Kemp – силуэт Granada. Выполнены из натуральной замши. Скругленный мысок и толстая резиновая подошва. Классические три полоски из кожи. Limited еdition.</p><br>;;B35817;B35817;adidas;["\/upload\/photo\/B35817\/01.jpg","\/upload\/photo\/B35817\/02.jpg","\/upload\/photo\/B35817\/03.jpg","\/upload\/photo\/B35817\/04.jpg","\/upload\/photo\/B35817\/05.jpg","\/upload\/photo\/B35817\/06.jpg","\/upload\/photo\/B35817\/07.jpg"];Бежевый;Бежевый;65e9faf6-b907-11e4-b49e-2c768a5427a7
129637;84;;Maharishi V Flatlock Crew Maha Olive sweatshirt;<p>Maharishi – британский бренд, объединяющий эстетику милитари с элементами уличной одежды. Свитшот из экологически чистого хлопка. С внутренней стороны утеплен мягким флисом. Контрастные швы на груди и рукавах. На изнаночной стороне есть петля, в которой можно закрепить наушники. </p><br>;<p>Maharishi is a British brand introducing military aesthetics into streetwear. This sweatshirt is made of organic cotton. Contrasting seams on the chest and on sleeves. Internal loop for headphones.</p>;8838.MAHAOLIVE;8838.MAHAOLIVE;maharishi;["\/upload\/photo\/8838.MAHAOLIVE\/01.jpg","\/upload\/photo\/8838.MAHAOLIVE\/02.jpg","\/upload\/photo\/8838.MAHAOLIVE\/03.jpg"];Оливковый;Оливковый;ed832fd4-5b5f-11e4-b8ab-2c768a5427a7
140128;96;;Puma  x BWGH R698 Pristine trainers;<p>Совместная работа Puma и парижского бренда Brooklyn We Go Hard. В основе релиза – классическая беговая модель R698, популярная в 90-е. Выполнены из высококачественной замши со вставками из mesh-нейлона. Толстая резиновая подошва. Фирменная система Trinomic, встроенная в подошву, поглощает удары и обеспечивает хорошую амортизацию. Пара дополнительных шнурков в комплекте. Limited edition.</p><br>;;PUMA.35776903;PUMA.35776903;puma;["\/upload\/photo\/PUMA.35776903\/01.jpg","\/upload\/photo\/PUMA.35776903\/02.jpg","\/upload\/photo\/PUMA.35776903\/03.jpg","\/upload\/photo\/PUMA.35776903\/04.jpg","\/upload\/photo\/PUMA.35776903\/05.jpg","\/upload\/photo\/PUMA.35776903\/06.jpg","\/upload\/photo\/PUMA.35776903\/07.jpg"];Серый;Серый;7d37fda5-c314-11e4-b49e-2c768a5427a7
136352;82;;Patchwork Print Navy shirt;<p>Gitman Vintage – американская марка, все изделия которой изготовляются на собственной фабрике в городе Ашленд.  В своей работе дизайнеры вдохновляются принтами из архивов бренда. Рубашка из мягкой фланели. Прямой силуэт и принт, имитирующий технику пэчворк. Классический воротник button-down, нагрудный карман и закругленный подол. Made in USA.</p><br>;;6L477GV02-41;6L477GV02-41;gitman;["\/upload\/photo\/6L477GV02-41\/01.jpg","\/upload\/photo\/6L477GV02-41\/02.jpg","\/upload\/photo\/6L477GV02-41\/04.jpg","\/upload\/photo\/6L477GV02-41\/03.jpg"];Синий;Синий;d2f7806d-8dd2-11e4-819c-2c768a5427a7
125161;112;;Universal Works Easy Winter Twiil Khaki pants;<p>Независимая марка из английского Ноттингема знаменита тщательным выбором тканей и уникальным подходом к крою: это современная городская одежда, практичная и удобная. Брюки из плотного английского твила. Эластичная резинка на поясе гарантирует идеальную посадку по фигуре. Фиксирующие тесемки внизу штанин. Зауженный крой.</p><br>;;11FT07.KHA;11FT07.KHA;universal-works;["\/upload\/photo\/11FT07.KHA\/01.jpg","\/upload\/photo\/11FT07.KHA\/02.jpg","\/upload\/photo\/11FT07.KHA\/03.jpg","\/upload\/photo\/11FT07.KHA\/04.jpg","\/upload\/photo\/11FT07.KHA\/05.jpg","\/upload\/photo\/11FT07.KHA\/06.jpg","\/upload\/photo\/11FT07.KHA\/07.jpg","\/upload\/photo\/11FT07.KHA\/08.jpg"];Бежевый;Бежевый;aaf5c004-43e9-11e4-8b00-2c768a5427a7
125208;239;;Folk Zip Back Navy top;<p>В новом сезоне британский бренд Folk использует современные японские материалы – полиэстер и полиамид, главным достоинством которых является удобство и практичность. Темно-синий топ свободного кроя с молнией на спине создан именно из этих материалов. В паре с синими брюками Draw Pant составит полноценный комплект.</p><br>;<p>For its newest collection Folk has introduced contemporary Japanese fabrics - polyester and polyamide - that are known to be practical and convenient. This dark-blue top has a loose fit and a zip on the back. Together with blue Draw Pant it makes a combination.</p>;WFW2419W.NAVY;WFW2419W.NAVY;folk;["\/upload\/photo\/WFW2419W.NAVY\/01.jpg","\/upload\/photo\/WFW2419W.NAVY\/02.jpg","\/upload\/photo\/WFW2419W.NAVY\/03.jpg","\/upload\/photo\/WFW2419W.NAVY\/04.jpg","\/upload\/photo\/WFW2419W.NAVY\/05.jpg","\/upload\/photo\/WFW2419W.NAVY\/06.jpg","\/upload\/photo\/WFW2419W.NAVY\/07.jpg","\/upload\/photo\/WFW2419W.NAVY\/08.jpg"];Синий;Синий;b0f1f8ec-43e9-11e4-8b00-2c768a5427a7
124940;126;;Nike x F.C. Real Bristol QS French Terry Hoody Grey Heather sweatshirt;<p>Совместный проект Nike и японского дизайн-бюро Sophnet, в котором по-новому интерпретируются архивные футбольные силуэты. Толстовка из french terry – мягкого трикотажа, обладающего хорошими впитывающими качествами. Прямой крой, удобный капюшон и вместительный внешний карман.</p><br>;<p>A collaboration between Nike and Japanese design bureau<br><br>Sophnet, featuring vintage football silhouettes in modern adaptation.<br><br>This hoodie is made of french terry, a soft kind of moisture­absorbing<br><br>knitted fabric. Straight cut, hood, spacious exterior pocket.</p>;NIKE.684611_050;NIKE.684611_050;nike_fcrb;["\/upload\/photo\/NIKE.684611_050\/01.jpg","\/upload\/photo\/NIKE.684611_050\/02.jpg","\/upload\/photo\/NIKE.684611_050\/03.jpg","\/upload\/photo\/NIKE.684611_050\/04.jpg","\/upload\/photo\/NIKE.684611_050\/05.jpg","\/upload\/photo\/NIKE.684611_050\/06.jpg","\/upload\/photo\/NIKE.684611_050\/07.jpg","\/upload\/photo\/NIKE.684611_050\/08.jpg","\/upload\/photo\/NIKE.684611_050\/09.jpg","\/upload\/photo\/NIKE.684611_050\/10.jpg"];Серый;Серый;fcff4f43-4320-11e4-8b00-2c768a5427a7
